"548","1.0122","0.9999","0.2554","0.2554"
"549","0.9637","0.27","0.8988","0.8988"
"550","0.6513","0.8708","0.9706","0.9706"
"551","0.3815","0.3637","0.9735","0.9735"
"552","0.254","0.5724","0.7437","0.7437"
"553","0.7907","0.265","0.4382","0.4382"
"554","0.9106","0.517","0.6361","0.6361"
"555","0.56","0.7949","0.4915","0.4915"
"556","0.7705","0.7159","0.8007","0.8007"
"557","1.0713","0.9656","0.1636","0.1636"
"558","0.9737","0.4771","0.1145","0.1145"
"559","0.7468","0.7163","0.8944","0.8944"
"560","0.8467","0.3851","0.847","0.847"
"561","0.1963","0.8749","0.33","0.33"
"562","0.6976","0.6653","0.9597","0.9597"
"563","0.3648","0.9769","0.1203","0.1203"
